test_id,category,fetch_fault,rf_fault,fw_pass,trap_seen,fetch_single_cnt,fetch_double_cnt,fetch_fatal_cnt,rf_single_err,rf_double_err,rf_fatal,result
0,A0,none,none,1,0,0,0,0,0,0,0,PASS
1,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
2,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
3,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
4,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
5,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
6,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
7,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
8,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
9,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
10,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
11,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
12,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
13,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
14,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
15,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
16,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
17,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
18,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
19,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
20,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
21,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
22,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
23,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
24,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
25,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
26,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
27,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
28,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
29,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
30,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
31,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
32,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
33,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
34,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
35,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
36,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
37,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
38,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
39,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
40,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
